#visible_distance(float) space view_sector(float)
100 135
#sequence of units
#2D_position(float;float) space 2D_direction(float;float)
-4062.79;1869.5 3.12799;-4.70946
-45.998;-7957.67 2.61315;0.594958
4999.04;6315.93 3.29432;-3.7466
-9555.25;-1092.75 -3.10602;-1.19648
-4283.62;-1960.1 -1.13483;-0.0807214
-6639.69;-6696.05 3.39717;-2.3571
954.785;964.276 3.90988;1.15223
-2585.87;-3301.22 -1.89962;1.87338
-3324.6;-1725.02 1.59963;-1.24256
-70.8682;7174.84 -0.692312;0.527207
4382.97;-5527.41 -1.5334;2.70928
3562.52;9242.04 2.53197;2.26371
1609.89;-7640.98 -0.0886564;-2.37449
-3955.4;-4217.42 -3.37428;-3.03247
-9679.58;1612.52 -3.03919;2.49718
-9374.55;2101.9 1.16688;3.60317
9402.62;1231.14 4.2758;-3.33888
-8762.89;-3255.16 -4.91119;4.31333
-5748.6;-8180.16 -0.591296;2.03024
-1051.85;-1885.99 -3.4344;4.77355
7756.71;1705.71 3.31263;1.56728
1427.16;8990.87 4.14273;0.791803
7671.02;8150.14 2.09647;4.01364
3658.2;2074.12 -0.879696;1.16108
4743.77;6597.11 0.0358591;4.86389
2835.67;-4736.18 -0.81225;-3.24
9699;-5032.87 3.829;3.59401
4512.63;3199.71 3.305;-4.09421
2097.31;8887.31 -1.89566;-2.86309
2365.19;977.383 -2.16575;-4.04599
-1385;-5526.09 2.1807;-0.390179
-814.465;-3025.62 3.92575;1.15162
7340.08;3579.08 -1.92831;-1.71041
-8501.76;1389.3 -3.8525;-3.26228
3932.65;-6125.97 -0.253456;-4.15952
-4614.19;6937.4 2.37083;-0.703909
7128.29;9486.75 3.63552;-1.2096
-2808.51;1053.45 4.90082;3.35505
1573.06;5404.46 0.389874;2.2573
3571.76;9559.48 2.86065;4.241
-1228.69;-5867.4 -2.11203;0.925474
-2935.02;-2559.09 -4.17631;-2.82189
3543.47;-8759.82 -4.50591;-3.72768
-9044.94;-5149.33 -1.30238;2.64183
2311.3;-7556.72 -0.433821;0.0459299
9048.39;2737.06 -2.14591;-2.04154
-7469.49;1525.68 0.212562;3.98984
-9531.5;7466.95 -1.48427;-4.84191
-4844.85;-7092.88 -0.698721;-4.17966
6627.94;7525.06 3.38588;-4.92431
-7897.5;2456.91 -0.282754;1.45436
-3364.81;-5770.98 2.53197;-2.29667
1638.69;-1876.03 -4.13053;3.48384
8408.65;2591.34 4.51964;-1.21021
1347.93;-5070.29 -4.54985;-4.09696
-2926.06;143.721 -1.20594;2.69463
8325.19;7857.78 2.44133;-4.91333
-6575.84;681.277 -0.686209;1.48823
7007.67;-2451.34 1.37318;-2.98608
3930.18;-3371.46 -0.567186;0.303202
-4504.36;2125.2 2.83166;0.746941
-9390.89;210.286 -1.96646;-1.0622
-4419.67;-8972.93 0.216529;-1.84378
7926.99;25.0645 -3.08954;-0.295572
7204.4;1623.68 -2.25028;-0.101779
-5825.72;7031.48 -0.59862;1.53462
4033.45;-2046.06 -0.26841;-2.35893
-9514.16;-3347.45 0.271768;0.327311
8703.88;-7200.83 1.04999;2.54143
-4942.78;-1793.17 -3.15363;-4.447
-3404.16;7880.58 -1.0622;-0.0294504
-6262.27;3212.89 1.39332;3.1045
-4793.36;7559.02 -4.01913;0.492416
-7005.04;1700.52 4.75494;4.39726
-7214.02;-897.445 4.37559;-2.91192
-2645.53;-8063.8 1.2331;1.72262
3885.57;-9500 1.43574;-1.36555
8567.98;2200.37 4.72015;-0.150914
2178.94;-1021.32 -3.64711;-0.370647
7909.74;8838.22 -3.91781;3.87295
-9192.29;-5595.91 -1.798;-3.83236
-1232.91;1486.61 1.7925;3.32057
-2092.7;9095.62 -4.80071;-1.82974
-6263.9;2420.28 3.81344;2.49992
-2583.62;8885.42 -4.7882;-2.14225
4142.02;1523.06 0.729239;-2.89819
5901.89;7729.26 -2.48711;4.47905
-6566.62;-232.074 0.130772;-2.94824
8203.52;1475.53 -4.20804;-4.71343
6490.56;6870.51 2.24509;-4.3881
1201.18;-9156.88 2.41142;2.76482
-7110.76;-6814.39 4.82147;4.73174
1403.19;-2853.71 3.91415;-1.89657
-1183.17;7818.89 -0.738701;-3.35047
-2853.12;-6276.15 -2.21824;0.928221
-4793.69;458.18 -1.99637;1.74551
-443.439;3563.09 0.443282;-4.72686
-2658.89;2084.74 3.15638;2.64122
-425.719;-2968.28 -3.46919;1.81143
-5807.56;9446.8 -3.62117;4.55351
4451.05;-5722.95 -0.609912;-3.67244
-4261.44;-2798.76 0.015717;1.89322
-387.951;6306.77 2.83563;4.44792
5656.56;-198.801 -0.520798;1.11957
9189.97;7412.4 4.15983;2.61467
-3549.77;-6339.45 -3.11823;-0.159764
4973.75;-3394.41 -1.60909;-4.68749
2434.81;3091.13 -4.08017;2.16239
-9004.77;-5938.31 3.80123;-1.45192
3452.04;6567.48 -1.99515;0.295877
-5748.69;-8107.33 -1.33686;-0.427717
3416.7;8959.12 -0.352336;2.40379
167.517;-6091.33 -0.741447;2.85943
-4178.1;-8888.61 1.09058;-3.29676
5880.05;-9550.58 -0.863521;2.3339
8575.3;6050.72 -3.80886;1.81936
-1024.92;2916.4 -0.379803;-0.154576
-2554.26;-1172.01 3.55342;3.38404
-3693.92;5758.57 1.56575;-0.103
-8193.55;3633.14 -1.08844;-3.1109
8317.57;-4969.44 -1.63106;0.619984
-7109.13;6920.38 -1.23676;-3.21192
5815.37;-7951.26 0.224769;1.00208
9004.2;-4459.76 -4.74853;1.84713
4393.66;1434.28 -0.36729;4.36308
-2910.73;-2382.2 2.2985;-3.25434
-2430.58;404.561 -1.84286;-1.91885
-1269.79;999.139 2.98639;-0.0697346
7564.96;-2337.52 4.43327;-0.429243
-9502.29;-1050.47 -1.80685;-2.28568
4094.57;8248.59 3.42616;-1.49251
5520.64;9411.88 -3.52718;4.63042
-1674.32;2048.47 -3.06299;-4.6942
7900.59;-8876.56 -4.81048;0.0315866
4848.04;-1374.83 -4.63652;-4.15433
-147.8;1991.64 2.90033;0.943174
6083.73;1317.77 0.705435;2.44804
-3132.41;4905.63 2.98669;1.16352
-4161.96;930.7 0.822626;1.10248
5310.08;-7473.79 -1.46107;-3.38282
6020.94;-8607.98 4.94385;4.94293
2433.22;8900.74 -1.51051;-3.04468
1566.7;-2616.63 0.424055;3.97458
-4527.67;-8628.1 4.99298;3.40693
7828.95;-1073.98 0.752434;1.05152
6424.77;7879.59 2.06168;2.88079
-8847.57;2150.14 4.80987;4.10184
1765.82;7859.82 -4.55351;-1.68172
-9006.48;7021.34 -2.62413;4.60357
-2977.69;6790.9 3.77255;-4.70733
5317.43;6220.96 0.889768;2.31376
-8724.91;-4758.8 0.917844;4.86297
-6592.45;-3996.95 -1.54622;-3.75698
-145.77;-5988.23 -0.35081;2.67327
-4079.07;-1006.84 -1.90542;1.88284
-6315.26;6325.77 -3.49513;4.3057
8383.35;3234.25 -1.73055;4.68169
-5803.52;1181.73 -2.07419;-3.11792
-8821.31;8935.76 4.62432;-0.228126
-1692.38;4337.94 -2.36015;-3.08466
-3301.79;-8528.14 -1.99881;-2.05344
1540.25;-9266.28 -4.70672;4.41008
-7301.17;-8861.4 3.69777;-2.11417
4372.89;-635.288 -3.66482;3.21497
-5770.1;4397.53 1.97226;4.63286
1851.2;-7727.18 3.14966;-2.37541
6604.39;1924.52 -0.196081;4.32066
-5278.24;-6698.8 -2.5631;-4.76928
9056.5;-3197.53 3.8995;-4.85076
2938.22;9260.87 3.84976;-3.97641
-1861.89;-9192.24 4.95117;4.61333
5106.92;1362.53 4.87213;-2.25608
-4755.36;9123.26 3.14509;2.97449
-4978.16;2354.55 -3.04468;-2.51671
-801.285;-5866.66 4.9176;2.9928
2317.33;-2857.68 -2.10044;-0.461592
-1411.35;-2237.24 0.965147;-4.0994
901.271;6462.75 -4.51384;-0.491195
5565.85;3618.4 -4.4998;3.62972
-8279.88;-8543.24 -2.63878;4.6527
-3465;9465.18 -3.23939;-2.71233
-7628.62;-642.83 2.16849;0.484481
7997.11;7005.15 -1.23371;1.88528
-9065;-3516.91 1.93075;3.62911
5665.43;-7309.42 4.32737;-2.68822
-2340.53;-421.872 -4.31547;0.922727
4156.26;9532.01 -0.697805;-4.43724
3580.64;9064.7 4.36277;4.76409
-1838.01;-9053.27 -1.89474;4.21567
-1207.46;-7554.71 -3.07459;4.71587
-8547.95;-1858.58 0.464034;-3.84335
-6915.91;-5941.76 -2.25486;-4.64293
9151.88;-7556.4 -0.571459;-4.44243
799.108;8766.34 -4.76196;0.384686
-1986.95;1086.99 0.627308;0.102695
9040.8;1146.79 1.74764;2.96319
-3984.4;8822.91 2.77673;-0.536363
5464.05;-6270.1 4.67681;2.32871
-739.958;-5044.22 -0.562914;0.0279241
8418.36;-4430.27 -1.12873;-3.36055
2865.32;1292.11 2.02292;-4.12534
4188.1;-50.2842 0.252541;2.07694
6106.38;2392.74 4.0582;-3.99869
962.168;-6005.19 0.699942;-1.80197
877.222;-2638.06 -3.31446;-2.20023
8951.13;-784.157 4.18394;-0.463423
630.106;-813.707 -4.57579;-3.21711
3875.23;-9359.98 4.14914;3.45454
-4483.01;-2083.94 -1.82272;2.56279
7068.39;-763.499 2.14621;4.24436
5118.59;-7125.72 4.48943;1.0744
-3391.03;-2241.24 -2.28385;3.47896
303.387;-1328.81 -3.94498;3.05475
-7845.14;7893.33 -0.478073;-3.38527
-1239.13;6026.12 -1.52333;-1.23218
8912.71;-9083.36 -2.26859;-4.15616
-8373.74;-7434.07 4.27122;-1.01703
-4983.67;-2415.08 -2.34947;-0.806757
5680.06;2534.37 -2.87133;2.19871
-477.229;6510.33 4.60601;-4.12198
-3255.55;-8848.84 -2.57897;-1.87887
406.357;2719.2 0.07828;-2.09769
-7319.75;4151.02 -1.04175;-2.60857
1221.13;-8025.39 -0.916318;-2.08792
-8457.16;7927.7 -3.00378;-2.44011
-2998.12;7954.12 -1.1916;3.29432
-4769.07;-2252.2 -2.50359;-4.68596
-421.174;-1685.56 -1.5096;-3.46889
7482.65;3728.72 -2.36839;4.95544
8256.22;7658.06 0.552232;1.80013
-3741.84;-5263.15 -2.45506;3.12494
1885.36;-7629.8 2.98395;-2.17521
-8540.43;3125.71 3.35719;-0.219581
9267.79;8256.22 2.97662;-3.02087
-4933.05;-4575.04 1.42476;-4.57671
-7973.55;-7764.44 1.8038;0.636158
7631.57;1773.74 3.84732;4.57488
-4323.99;-7369 0.955992;0.770745
190.8;-8591.2 -4.77447;-4.49858
-691.612;-6371 -0.477767;-2.18833
2405.19;6783.11 0.670644;-3.80612
-4532.3;-1589.88 2.82281;4.74273
3294.9;5899.56 -4.94171;-3.40846
-3572.35;-8725.57 2.2927;-2.54723
6167.41;1142.05 3.54121;-2.9397
4920.97;6464.18 -3.38527;1.34083
-8940.93;1229.17 3.30226;3.11823
6221;232.85 4.10153;4.1641
-6685.99;3000.12 -3.43379;-3.58791
516.789;248.996 -3.67214;-4.8587
-5066.42;-4945.55 4.85565;1.94601
-288.844;1380.03 3.01599;0.304117
7891.04;-7823.96 4.49889;1.55477
7653.16;6058.07 -1.83493;4.09848
8172.63;5779.95 3.38771;3.63277
2756.87;668.48 -2.5634;-2.76421
4837.23;7298.76 -1.01428;-0.890683
-1239.88;617.485 -3.21406;0.795465
-2252.12;-1881.73 -2.41417;3.67672
-5825.43;-6424.01 2.3455;-3.42463
-5483.96;-3394.37 4.81872;-3.73623
-116.975;8199.52 1.55751;3.69472
-8062.91;-870.722 -2.59178;3.76736
-6635.56;5342.46 -4.44365;1.44368
-2340.78;-9199.98 -3.8168;2.02261
7791.86;8283.24 2.80297;-1.61306
-2568.34;5859.81 0.331889;3.03583
-3621.04;-1311.31 3.96542;-2.28568
422.241;-8244.25 2.91101;-1.54408
1864.53;-5249.04 -1.94662;-1.15741
-7715.61;6683.74 -2.39677;-0.695364
6702.08;8672.11 -0.199743;-4.73388
4087.64;-6152.08 -3.27387;1.9509
-6251.81;-2873.36 -1.70339;-1.33961
-5502.96;2581.16 0.488754;0.338297
9242.93;-6308.17 -3.1283;-0.768914
-954.215;5227.27 -2.50084;4.46104
1307.04;7276.23 4.22788;2.31834
-1838.54;-9414.71 -3.47621;-4.90844
1076.14;8045.55 -3.17835;1.24531
-4483.11;-6515.25 -0.506149;4.75646
3748.84;735.241 2.4987;-3.57723
4207.23;3918.47 -4.23643;4.96185
3218.99;-3643.15 -4.62584;0.698721
-2455.12;1389.05 -2.3809;-0.327616
-8730.71;-4253.14 1.96799;0.95996
-5576.63;1008.51 -2.96655;-4.96338
-3127.76;3809.25 -1.41438;-4.01517
-4066.89;-1907.44 3.67794;-4.63744
-4303.18;-1086.52 -0.0480666;0.544298
-93.0049;97.6123 4.17722;-4.65392
-8096.36;8474.1 -0.905942;-4.24802
-1071.21;-5155.66 2.61864;-1.45405
7870.7;7575.36 -1.52638;-4.33134
-426.262;6023.21 2.30888;2.11112
851.569;-745.087 2.36991;0.151525
6257.32;-9316.77 -1.21723;-2.24265
8369.73;-6663.5 0.512863;3.95657
7468.93;-6249.66 4.06156;-1.00604
-5852.02;-2929.89 2.96533;2.08914
2071.27;-6331.18 2.15812;4.59929
-1835.79;-1285.89 -3.74325;1.40797
9085.96;5021.94 -4.16196;-1.65151
6206.09;608.734 0.764946;-1.52577
4443.54;4376.26 4.62584;4.98962
-8492;7459.36 -0.650502;3.65413
-7958.73;-136.54 4.06156;2.47002
-3634.47;7570.44 -2.76513;1.47023
1730.39;-565.877 -3.78903;0.413068
8844.15;3537.72 3.14234;-2.79656
-4501.63;-9074.22 1.42323;4.84527
-7379.91;-1811.43 1.67379;-0.255898
2053.7;9229.15 1.33564;-0.829035
-5560.11;-7699.47 -3.05689;0.694144
8887.71;8079.5 3.13501;1.40187
9129.71;-5913.88 -2.53838;-0.282144
7384.03;7239.3 -4.93683;-2.36961
-2346.04;2795.67 2.26768;-3.85678
2585.8;6657.85 3.17743;1.75954
1573.36;4097.17 -1.68874;-3.18445
6497.42;6553.68 -0.645619;1.47603
-3616.44;-3975.18 -0.912656;0.196692
-3870.88;1611.31 0.551622;0.479293
-8148.09;7843.94 4.5172;-3.28272
5561.64;5735.51 -0.687429;-3.04285
2971.15;-959.594 2.08182;-4.62127
-5333.85;-5461.79 -4.47295;-1.68691
4507.27;-4260.61 -0.794244;-3.39473
2253.25;-8801.64 -0.563219;2.14133
703.976;-5599.4 -3.11243;1.34358
730.279;-5149.8 -4.10611;3.45485
3308.7;8891.14 4.58556;-3.58364
-2482.77;-4057.1 -0.130161;-1.83889
-6812.33;-2249.76 -3.6523;-3.87661
7202.53;3323.69 3.21161;2.78954
-2978.88;-8905.7 -1.80288;0.0917082
7300.14;7909.32 2.64977;0.466475
-2740.45;3766.72 -3.23725;-2.62047
9065.57;-4313.49 -0.942259;3.14356
-5277.21;-2113.12 -0.836665;-3.17438
-836.049;-8805.87 -2.04184;0.0727868
-1612.64;7319.16 4.13999;3.65261
-3636.42;87.3379 1.28132;2.53471
-1228.62;-7755.1 4.43876;2.31681
-2071.34;1017.78 0.372173;4.81292
-19.752;5814.3 0.443587;-4.38841
3452.26;5533.17 0.249794;1.42262
-2217.21;-2822.82 -4.94049;0.0175481
3502.46;-1668.67 -4.88708;0.585498
-2431.92;1535.15 -0.154881;-2.69524
8120.69;1819.95 -4.8999;3.95749
-2874.82;4198.23 2.39525;2.38456
2647.39;2333.31 4.29655;2.60521
9275.9;3972.53 4.97375;-2.59056
-346.904;614.591 -0.00991869;-0.767998
-6881.02;-5521.57 4.39604;2.1276
-540.118;-1007.32 3.18262;-3.3459
-6194.54;-5321.98 3.1637;0.481124
9250.37;281.579 0.345317;2.52922
3492.06;-2594.54 1.845;3.46095
